/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/compressai/models/video/google.py:353: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @amp.autocast(enabled=False)
/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
2026-02-13 01:51:19,896 [INFO ] [Train][E2][it 400/3188][step 6777] RD 1.2228 | BPP 0.5383 | MSE 0.002105 | PSNR 27.08 | AUX 1226.91
2026-02-13 01:51:35,851 [INFO ] [Train][E2][it 500/3188][step 6877] RD 1.2190 | BPP 0.5369 | MSE 0.002098 | PSNR 27.10 | AUX 1202.16
2026-02-13 01:51:51,807 [INFO ] [Train][E2][it 600/3188][step 6977] RD 1.2148 | BPP 0.5370 | MSE 0.002085 | PSNR 27.13 | AUX 1180.30
2026-02-13 01:52:07,722 [INFO ] [Train][E2][it 700/3188][step 7077] RD 1.2108 | BPP 0.5364 | MSE 0.002074 | PSNR 27.15 | AUX 1161.75
2026-02-13 01:52:23,744 [INFO ] [Train][E2][it 800/3188][step 7177] RD 1.2110 | BPP 0.5359 | MSE 0.002077 | PSNR 27.14 | AUX 1146.20
2026-02-13 01:52:39,732 [INFO ] [Train][E2][it 900/3188][step 7277] RD 1.2118 | BPP 0.5362 | MSE 0.002078 | PSNR 27.14 | AUX 1133.29
2026-02-13 01:52:55,687 [INFO ] [Train][E2][it 1000/3188][step 7377] RD 1.2109 | BPP 0.5362 | MSE 0.002075 | PSNR 27.14 | AUX 1122.09
2026-02-13 01:53:11,665 [INFO ] [Train][E2][it 1100/3188][step 7477] RD 1.2131 | BPP 0.5369 | MSE 0.002080 | PSNR 27.13 | AUX 1112.97
2026-02-13 01:53:27,884 [INFO ] [Train][E2][it 1200/3188][step 7577] RD 1.2141 | BPP 0.5366 | MSE 0.002084 | PSNR 27.12 | AUX 1105.45
2026-02-13 01:53:43,822 [INFO ] [Train][E2][it 1300/3188][step 7677] RD 1.2139 | BPP 0.5368 | MSE 0.002082 | PSNR 27.12 | AUX 1099.32
